Date,Open,High,Low,Close,Adj Close,Volume
9/20/2013,45.16,45.200001,44.75,44.810001,44.810001,76000
9/23/2013,44.93,45.310001,44.52,44.959999,44.959999,145600
9/24/2013,45.110001,45.540001,44.639999,44.84,44.84,118100
9/25/2013,44.869999,45.349998,44.619999,44.93,44.93,19700
9/26/2013,45.200001,45.32,44.740002,44.970001,44.970001,43400
9/27/2013,44.630001,45.07,44.549999,45,45,52000
9/30/2013,44.619999,45.110001,43.740002,45.110001,45.110001,22700
10/1/2013,44.990002,45.200001,44.759998,45.02,45.02,46000
10/2/2013,44.880001,45.150002,44.610001,45,45,20000
10/3/2013,44.950001,45.09,44.669998,45,45,26600
10/4/2013,44.900002,45.139999,44.849998,44.889999,44.889999,18000
10/7/2013,44.709999,45.200001,44.5,44.720001,44.720001,35100
10/8/2013,45.200001,45.200001,43.450001,43.75,43.75,26600
10/9/2013,44.040001,44.369999,43.52,43.950001,43.950001,29100
10/10/2013,44.389999,44.860001,43.990002,44.48,44.48,16700
10/11/2013,44.490002,45.119999,44.25,45.119999,45.119999,18400
10/14/2013,44.880001,45.169998,44.490002,44.98,44.98,52100
10/15/2013,44.459999,44.98,43.900002,43.91,43.91,32100
10/16/2013,44.02,44.599998,43.98,43.98,43.98,11900
10/17/2013,43.900002,44.52,43.900002,44.5,44.5,12600
10/18/2013,44.869999,44.939999,43.91,44.580002,44.580002,22100
10/21/2013,44.540001,44.669998,44.150002,44.18,44.18,17600
10/22/2013,44.240002,44.509998,44.09,44.209999,44.209999,9500
10/23/2013,44.09,45.130001,44.009998,45,45,30000
10/24/2013,44.91,45.610001,44.57,45.459999,45.459999,17900
10/25/2013,45.529999,45.73,44.700001,45.669998,45.669998,18300
10/28/2013,45.5,47.060001,45.400002,46.73,46.73,33000
10/29/2013,46.75,47.52,46.040001,46.32,46.32,38000
10/30/2013,46.200001,47.34,45.759998,46.02,46.02,12800
10/31/2013,45.91,46.220001,45.43,45.740002,45.740002,24900
11/1/2013,45.66,47.93,44.560001,46.16,46.16,34500
11/4/2013,46.18,46.709999,45.869999,46.139999,46.139999,45700
11/5/2013,46.150002,46.150002,45.73,46.110001,46.110001,50400
11/6/2013,46.490002,46.490002,45.330002,46.02,46.02,22100
11/7/2013,46.119999,46.119999,44.950001,45.18,45.18,11700
11/8/2013,45.080002,45.080002,43.299999,43.720001,43.720001,32900
11/11/2013,43.049999,43.959999,43.049999,43.759998,43.759998,13000
11/12/2013,43.48,43.549999,42.630001,42.790001,42.790001,12300
11/13/2013,42.990002,43.119999,42.459999,43,43,18400
11/14/2013,43,43.240002,41.82,42,42,24300
11/15/2013,41.900002,42.689999,41.849998,42.59,42.59,38100
11/18/2013,42.889999,42.889999,41.860001,42.189999,42.189999,69500
11/19/2013,42.189999,42.84,41.639999,42.75,42.75,81500
11/20/2013,39.990002,40.75,38.509998,39.919998,39.919998,375900
11/21/2013,39.32,41.509998,39.009998,41.029999,41.029999,286500
11/22/2013,41,41.759998,40.290001,41.540001,41.540001,100700
11/25/2013,41.209999,42,41.209999,41.75,41.75,48800
11/26/2013,41.700001,42.040001,40.900002,41,41,31500
11/27/2013,41.150002,41.810001,41,41.799999,41.799999,17400
11/29/2013,42.040001,42.110001,41.799999,42.029999,42.029999,4700
12/2/2013,42.049999,42.049999,40.77,40.91,40.91,57700
12/3/2013,41,41.98,41,41.009998,41.009998,63900
12/4/2013,41,41.400002,40.830002,41.16,41.16,46600
12/5/2013,41.349998,41.450001,41,41.099998,41.099998,34800
12/6/2013,41.490002,41.939999,41.009998,41.43,41.43,24500
12/9/2013,41.34,41.639999,40.849998,41.029999,41.029999,31700
12/10/2013,41,41.509998,41,41.02,41.02,27300
12/11/2013,41.169998,41.18,40.560001,41.009998,41.009998,29800
12/12/2013,41,41.27,41,41,41,223000
12/13/2013,41,41.299999,40.790001,41,41,34700
12/16/2013,41.040001,41.889999,41.009998,41.73,41.73,62700
12/17/2013,41.599998,42,41.48,41.849998,41.849998,30600
12/18/2013,41.849998,41.959999,41.220001,41.34,41.34,52400
12/19/2013,41.119999,41.34,40.669998,40.939999,40.939999,77800
12/20/2013,41,41,40.599998,40.93,40.93,204700
12/23/2013,41,42.029999,40.98,41.869999,41.869999,42500
12/24/2013,41.810001,42.299999,41.740002,42.18,42.18,14900
12/26/2013,41.77,42.220001,41.630001,41.779999,41.779999,41400
12/27/2013,41.950001,42.419998,41.57,42.400002,42.400002,43800
12/30/2013,42.5,42.669998,41.970001,42.240002,42.240002,49200
12/31/2013,42.439999,42.59,42.009998,42.23,42.23,59100
1/2/2014,41.990002,42.73,41.779999,41.959999,41.959999,79800
1/3/2014,41.919998,42.34,41.849998,42.060001,42.060001,28800
1/6/2014,42.009998,42.330002,41.25,41.310001,41.310001,36400
1/7/2014,41.419998,42.369999,41.189999,41.919998,41.919998,23400
1/8/2014,41.66,42.939999,41.599998,42.639999,42.639999,49300
1/9/2014,42.75,42.959999,42.299999,42.669998,42.669998,36300
1/10/2014,42.700001,42.869999,41.919998,42.220001,42.220001,58800
1/13/2014,41.970001,42.619999,41.610001,41.880001,41.880001,52400
1/14/2014,42.07,43.18,41.849998,42.73,42.73,89100
1/15/2014,42.610001,42.75,42.299999,42.48,42.48,62600
1/16/2014,42.25,42.57,42.25,42.509998,42.509998,17000
1/17/2014,42.59,42.59,42.099998,42.41,42.41,29000
1/21/2014,42.43,43.189999,41.91,42.709999,42.709999,26400
1/22/2014,42.900002,43.689999,42.310001,43.43,43.43,41500
1/23/2014,43.110001,43.25,42.959999,43.189999,43.189999,64300
1/24/2014,42.91,43.119999,42.310001,42.509998,42.509998,78400
1/27/2014,42.82,43,42.299999,42.299999,42.299999,107900
1/28/2014,42.259998,42.259998,41.080002,41.299999,41.299999,46600
1/29/2014,41.389999,41.450001,38.950001,39.040001,39.040001,60500
1/30/2014,39.450001,39.779999,38.869999,39.18,39.18,57000
1/31/2014,38.68,39.34,38.380001,38.549999,38.549999,63300
2/3/2014,38.380001,38.389999,36.740002,37.060001,37.060001,47300
2/4/2014,37.080002,37.810001,37.080002,37.189999,37.189999,33100
2/5/2014,37.27,37.27,36.84,36.84,36.84,33900
2/6/2014,37,37.959999,37,37.369999,37.369999,26800
2/7/2014,37.650002,37.75,36.259998,37.360001,37.360001,43400
2/10/2014,37.259998,37.259998,36.549999,37.139999,37.139999,33900
2/11/2014,37.099998,37.610001,36.330002,37.5,37.5,37000
2/12/2014,37.549999,37.790001,36.639999,36.93,36.93,37000
2/13/2014,36.720001,37.02,36.459999,36.849998,36.849998,24300
2/14/2014,36.970001,37.330002,36.220001,37.23,37.23,14500
2/18/2014,37.439999,38.029999,36.939999,37.549999,37.549999,47500
2/19/2014,36.650002,36.740002,35.5,35.720001,35.720001,642800
2/20/2014,35.580002,35.75,34.560001,35.720001,35.720001,302500
2/21/2014,35.669998,35.91,35.259998,35.599998,35.599998,228200
2/24/2014,35.77,35.77,35.310001,35.639999,35.639999,175200
2/25/2014,35.650002,36.52,35.509998,35.639999,35.639999,39900
2/26/2014,36.259998,36.259998,35.52,35.84,35.84,45300
2/27/2014,35.799999,36.43,35.77,36.43,36.43,39400
2/28/2014,36.330002,36.790001,36.110001,36.240002,36.240002,26100
3/3/2014,36.040001,36.630001,35.709999,36.490002,36.490002,20500
3/4/2014,36.970001,38.130001,36.970001,37.299999,37.299999,58300
3/5/2014,37.099998,37.48,36.290001,36.66,36.66,40200
3/6/2014,36.709999,37.32,36.34,37.009998,37.009998,59300
3/7/2014,37.110001,37.830002,36.869999,37.630001,37.630001,39200
3/10/2014,37.580002,37.990002,36.369999,37.130001,37.130001,52000
3/11/2014,37.619999,37.619999,36.689999,36.880001,36.880001,26800
3/12/2014,36.869999,37.23,36.66,37.110001,37.110001,20500
3/13/2014,37.34,37.34,35.98,36.27,36.27,35100
3/14/2014,36.080002,36.389999,35.790001,36.189999,36.189999,33600
3/17/2014,36,36.5,35.939999,36.189999,36.189999,52000
3/18/2014,36,36.169998,35.720001,36.040001,36.040001,24900
3/19/2014,35.93,36.09,35.799999,36.029999,36.029999,15300
3/20/2014,35.900002,36.490002,35.900002,36.279999,36.279999,16000
3/21/2014,36.560001,37.259998,36.41,36.869999,36.869999,59900
3/24/2014,36.84,37.419998,36.049999,36.220001,36.220001,30700
3/25/2014,36.23,36.349998,35.709999,35.869999,35.869999,22500
3/26/2014,35.900002,36,35.220001,35.259998,35.259998,42200
3/27/2014,35.299999,35.360001,35,35.310001,35.310001,20200
3/28/2014,35.150002,36.119999,35.150002,35.439999,35.439999,18600
3/31/2014,35.889999,37.080002,35.689999,36.66,36.66,40700
4/1/2014,36.889999,37.490002,36.57,37.25,37.25,25400
4/2/2014,37.099998,37.18,36.57,36.939999,36.939999,11700
4/3/2014,36.959999,37.57,36.580002,36.830002,36.830002,20500
4/4/2014,37.09,37.09,35.349998,35.759998,35.759998,20000
4/7/2014,35.52,36.509998,34.900002,36.060001,36.060001,51300
4/8/2014,35.959999,38.650002,35.959999,37.639999,37.639999,66000
4/9/2014,37.759998,40,37.549999,37.880001,37.880001,24100
4/10/2014,37.889999,37.889999,36.52,37,37,32500
4/11/2014,36.68,36.990002,36.200001,36.549999,36.549999,23100
4/14/2014,36.939999,37.34,36.360001,36.650002,36.650002,18400
4/15/2014,36.799999,37.07,35.889999,36.669998,36.669998,21400
4/16/2014,37.040001,37.189999,36.75,37.040001,37.040001,10700
4/17/2014,37.040001,37.369999,36.720001,36.759998,36.759998,13400
4/21/2014,36.209999,36.93,35.830002,36.610001,36.610001,9300
4/22/2014,36.790001,37.779999,35.950001,36.189999,36.189999,15400
4/23/2014,36.470001,36.790001,36.029999,36.330002,36.330002,21200
4/24/2014,36.400002,36.400002,35.919998,36,36,20900
4/25/2014,35.73,36.25,35.560001,35.709999,35.709999,22600
4/28/2014,35.799999,36.77,35.509998,36.450001,36.450001,14900
4/29/2014,36.73,36.73,35.950001,36.189999,36.189999,13800
4/30/2014,36.16,36.389999,35.459999,36.139999,36.139999,24700
5/1/2014,36.110001,36.549999,35.459999,36.540001,36.540001,32700
5/2/2014,36.470001,37.529999,36.470001,37.360001,37.360001,49500
5/5/2014,36.779999,37.599998,36.779999,37.360001,37.360001,36900
5/6/2014,36.799999,37.060001,35.75,36.009998,36.009998,29400
5/7/2014,36.040001,36.110001,35.5,35.939999,35.939999,14900
5/8/2014,35.849998,36.470001,35.290001,35.73,35.73,14100
5/9/2014,35.540001,36.41,35.509998,36.27,36.27,18100
5/12/2014,36.459999,37.959999,36.07,37.939999,37.939999,15000
5/13/2014,37.790001,38.049999,37.450001,37.849998,37.849998,30200
5/14/2014,37.25,37.610001,36.869999,37,37,22300
5/15/2014,36.700001,37.299999,35.75,36.419998,36.419998,27500
5/16/2014,36.349998,37.220001,36.099998,36.860001,36.860001,17100
5/19/2014,36.639999,37.689999,36.560001,37.540001,37.540001,17100
5/20/2014,37.259998,37.400002,36.66,37.25,37.25,31300
5/21/2014,37.419998,37.959999,37.200001,37.509998,37.509998,26600
5/22/2014,38.279999,38.490002,37.799999,38.330002,38.330002,16400
5/23/2014,38.490002,38.490002,37.689999,38.34,38.34,14900
5/27/2014,38.310001,40.529999,38.310001,40.529999,40.529999,54100
5/28/2014,36,37.91,35.400002,37.639999,37.639999,247500
5/29/2014,37.599998,37.599998,35.709999,35.84,35.84,44800
5/30/2014,36,36.75,35.970001,36.25,36.25,54100
6/2/2014,36.240002,36.41,35.830002,36.02,36.02,37300
6/3/2014,36.060001,36.209999,35.549999,35.849998,35.849998,47100
6/4/2014,35.849998,36.290001,35.57,35.919998,35.919998,22300
6/5/2014,35.98,36.369999,35.689999,36.330002,36.330002,36600
6/6/2014,36.599998,37.259998,36.400002,36.650002,36.650002,38900
6/9/2014,36.740002,37.009998,36.599998,36.91,36.91,20900
6/10/2014,36.810001,37.860001,36.810001,37.290001,37.290001,20400
6/11/2014,37.220001,37.330002,36.689999,36.830002,36.830002,17900
6/12/2014,36.869999,36.869999,35.900002,36.060001,36.060001,25200
6/13/2014,36.310001,37.139999,36.27,36.490002,36.490002,11200
6/16/2014,36.560001,36.560001,35.939999,36.299999,36.299999,15800
6/17/2014,36.139999,36.720001,35.919998,36.419998,36.419998,25000
6/18/2014,36.759998,36.93,36.439999,36.720001,36.720001,16300
6/19/2014,37.220001,37.41,36.720001,37.259998,37.259998,15600
6/20/2014,37.59,37.59,36.59,37.470001,37.470001,48400
6/23/2014,36.919998,37.380001,36.919998,37.060001,37.060001,16500
6/24/2014,37.099998,37.669998,36.740002,36.75,36.75,28400
6/25/2014,36.529999,37.029999,36.369999,37.029999,37.029999,23900
6/26/2014,36.759998,37.59,36.759998,37.490002,37.490002,17800
6/27/2014,37.18,38.990002,37.18,38.77,38.77,212400
6/30/2014,38.5,39.849998,38.41,39.549999,39.549999,22900
7/1/2014,39.720001,40.919998,39.599998,40.060001,40.060001,36400
7/2/2014,40.220001,41.43,40.150002,41.040001,41.040001,28000
7/3/2014,41.16,41.27,40.959999,40.990002,40.990002,10100
