Date,Total,"Men, 20 years and over","Women, 20 years and over",16 to 19 years old,White,Black or African American,Asian,Hispanic or Latino
2019-01-31,4,3.6,3.6,12.9,3.5,6.9,3,4.7
2019-02-28,3.8,3.4,3.4,13.8,3.2,7.1,3.2,4.3
2019-03-31,3.8,3.6,3.4,12.5,3.3,6.5,3.1,4.6
2019-04-30,3.6,3.4,3.2,12.8,3.2,6.5,2.3,4.1
2019-05-31,3.7,3.4,3.3,13,3.2,6.1,2.5,4.1
2019-06-30,3.6,3.3,3.3,12.6,3.3,5.9,2.1,4.2
2019-07-31,3.7,3.3,3.3,12.7,3.3,5.8,2.7,4.4
2019-08-31,3.7,3.4,3.3,12.6,3.4,5.3,2.7,4.2
2019-09-30,3.5,3.3,3.1,12.1,3.2,5.4,2.5,4
2019-10-31,3.6,3.4,3.2,12.2,3.3,5.6,2.8,4.2
2019-11-30,3.6,3.2,3.3,12,3.2,5.6,2.6,4.3
2019-12-31,3.6,3.2,3.3,12.6,3.2,6,2.6,4.2
2020-01-31,3.5,3.2,3.2,12.3,3.1,6.3,3,4.3
2020-02-29,3.5,3.2,3.1,11.4,3,6,2.6,4.4
2020-03-31,4.4,4.1,4,14.1,3.9,6.8,4.2,6
2020-04-30,14.7,13,15.5,32.7,14.1,16.6,14.5,18.8
2020-05-31,13.2,11.6,13.8,30.4,12.3,16.8,14.9,17.6
2020-06-30,11,10.1,11.2,22.4,10,15.4,13.7,14.5
2020-07-31,10.2,9.3,10.5,19.2,9.2,14.4,11.9,12.8
2020-08-31,8.4,7.9,8.3,16.6,7.4,12.8,10.6,10.6
2020-09-30,7.9,7.4,7.8,16,7,12.1,8.9,10.4
2020-10-31,6.9,6.7,6.5,13.8,6,10.9,7.5,8.9
2020-11-30,6.7,6.6,6.2,13.8,5.9,10.4,6.7,8.6
2020-12-31,6.7,6.4,6.3,15.8,6.1,10,6,9.3
2021-01-31,6.3,6.1,6,14.7,5.7,9.2,6.6,8.5
2021-02-28,6.2,6,5.9,14,5.6,9.8,5.2,8.4
2021-03-31,6.1,5.9,5.7,12.8,5.4,9.6,6,7.7
2021-04-30,6.1,6,5.6,11.7,5.3,9.9,5.7,7.7
2021-05-31,5.8,5.9,5.3,9.7,5.1,9.1,5.6,7.1
2021-06-30,5.9,5.9,5.5,11.2,5.2,9.2,5.7,7.2
2021-07-31,5.4,5.4,5,10.6,4.8,8.2,5.2,6.4
2021-08-31,5.2,5.1,4.8,11.4,4.5,8.6,4.5,6.1
2021-09-30,4.8,4.7,4.3,11.2,4.2,7.8,4.2,6.2
2021-10-31,4.5,4.3,4.3,11.6,4,7.7,4.2,5.7
2021-11-30,4.2,3.9,3.9,10.9,3.7,6.5,3.8,5.2
2021-12-31,3.9,3.6,3.6,11,3.3,7,3.8,4.8
2022-01-31,4,3.8,3.6,10.9,3.4,6.9,3.5,4.9
2022-02-28,3.8,3.5,3.6,10.3,3.3,6.6,3,4.5
2022-03-31,3.6,3.4,3.3,10.1,3.2,6.2,2.8,4.2
2022-04-30,3.6,3.5,3.2,10.2,3.2,5.9,3.1,4.2
2022-05-31,3.6,3.4,3.4,10.5,3.2,6.2,2.4,4.4
2022-06-30,3.6,3.4,3.3,11,3.3,5.9,3,4.3
2022-07-31,3.5,3.2,3.1,11.4,3.1,6,2.6,4
2022-08-31,3.7,3.5,3.3,10.4,3.2,6.4,2.8,4.5
2022-09-30,3.5,3.3,3.1,11.3,3.1,5.9,2.5,3.9
2022-10-31,3.7,3.3,3.4,11,3.3,5.9,2.9,4.2
2022-11-30,3.6,3.3,3.3,11.3,3.3,5.7,2.6,4
2022-12-31,3.5,3.1,3.2,10.4,3,5.7,2.4,4.1
2023-01-31,3.4,3.2,3.1,10.3,3.1,5.4,2.8,4.5
2023-02-28,3.6,3.3,3.2,11.1,3.2,5.7,3.4,5.3
2023-03-31,3.5,3.4,3.1,9.8,3.2,5,2.8,4.6
2023-04-30,3.4,3.3,3.1,9.2,3.1,4.7,2.8,4.4
2023-05-31,3.7,3.5,3.3,10.3,3.3,5.6,2.9,4
2023-06-30,3.6,3.4,3.1,11,3.1,6,3.2,4.3
2023-07-31,3.5,3.3,3.1,11.3,3.1,5.8,2.3,4.4
2023-08-31,3.8,3.7,3.2,12.2,3.4,5.3,3.1,4.9
